"model","date","area"
"LL",2014-06-02,7860.61641539456
"LL",2014-06-03,11181.1659699951
"LL",2014-06-04,13660.4421942677
"LL",2014-06-05,23530.2185259741
"LL",2014-06-06,17238.7057284769
"LL",2014-06-07,21775.4765045042
"LL",2014-06-08,4565.44478669422
"LL",2014-06-09,2799.57512594028
"LL",2014-06-10,2558.56854399198
"LL",2014-06-11,2832.43075164054
"LL",2014-06-12,3584.41856815148
"LL",2014-06-13,3933.49594271716
"LL",2014-06-14,3988.35530841245
"LL",2014-06-15,4117.09254577039
"LL",2014-06-16,4320.16669996348
"LL",2014-06-17,3270.59553023317
"LL",2014-06-18,6256.33541751764
"LL",2014-06-19,5502.54086079864
"LL",2014-06-20,2699.4908993137
"LL",2014-06-21,6558.43447802532
"LL",2014-06-22,1603.27089283853
"LL",2014-06-23,1125.06013390885
"LL",2014-06-24,7390.59738907251
"LL",2014-06-25,36.735406613419
"LL",2014-06-26,2571.03662973665
"LL",2014-06-27,3310.25643425873
"LL",2014-06-28,4011.03260193367
"LL",2014-06-29,1922.01200224106
"LL",2014-06-30,23507.6625329363
"LL",2014-07-01,6099.61483675104
"LL",2014-07-02,25845.8390721959
"LL",2014-07-03,21915.3387112563
"LL",2014-07-04,31494.7472030314
"LL",2014-07-05,27065.0256378945
"LL",2014-07-06,22114.7210382342
"LL",2014-07-07,20534.2898289189
"LL",2014-07-08,12602.5362603364
"LL",2014-07-09,7487.1528019081
"LL",2014-07-10,3349.23950820082
"LL",2014-07-11,2895.68290079268
"LL",2014-07-12,8573.95429868426
"LL",2014-07-13,8530.87916224668
"LL",2014-07-14,8810.36285594509
"LL",2014-07-15,5957.26238217737
"LL",2014-07-16,13241.4046385625
"LL",2014-07-17,11691.5576706888
"LL",2014-07-18,17795.2230110131
"LL",2014-07-19,27299.6350836691
"LL",2014-07-20,29209.255101559
"LL",2014-07-21,24344.0406036536
"LL",2014-07-22,23130.2578669866
"LL",2014-07-23,22319.0832072042
"LL",2014-07-24,19268.1029463895
"LL",2014-07-25,23531.2812416819
"LL",2014-07-26,22022.453281432
"LL",2014-07-27,25098.4281160795
"LL",2014-07-28,31675.8627501862
"LL",2014-07-29,38933.7826542833
"LL",2014-07-30,44651.8730228239
"LL",2014-07-31,46754.9614555573
"LL",2014-08-01,43299.6038511864
"LL",2014-08-02,30447.3867045402
"LL",2014-08-03,17765.5489820419
"LL",2014-08-04,11292.5874886502
"LL",2014-08-05,11563.4219847538
"LL",2014-08-06,9082.91107527327
"LL",2014-08-07,5833.87426515707
"LL",2014-08-08,19887.5722682165
"LL",2014-08-09,12242.9928256219
"LL",2014-08-10,13915.884989563
"LL",2014-08-11,23406.8920885102
"LL",2014-08-12,33660.1160235569
"LL",2014-08-13,34982.0369880037
"LL",2014-08-14,31521.0250738535
"LL",2014-08-15,35180.2989182817
"LL",2014-08-16,23948.1033194356
"LL",2014-08-17,19815.6154407422
"LL",2014-08-18,18078.4108489822
"LL",2014-08-19,24119.154305376
"LL",2014-08-20,18607.4835558708
"LL",2014-08-21,22034.130916581
"LL",2014-08-22,25521.8293579315
"LL",2014-08-23,29313.1143885613
"LL",2014-08-24,30841.8613181017
"LL",2014-08-25,28180.4337242125
"LL",2014-08-26,29839.6137044497
"LL",2014-08-27,19238.6829595111
"LL",2014-08-28,13568.1302170508
"LL",2014-08-29,9831.13880052044
"LL",2014-08-30,12812.3986872572
"LL",2014-08-31,17640.1603470956
"LL",2014-09-01,12187.7161629791
